time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,upstream_reservoir_inflow,gate_1_opening,gate_1_outflow,canal_1_water_level,canal_1_inflow,canal_1_outflow,gate_2_opening,gate_2_outflow,canal_2_water_level,canal_2_inflow,canal_2_outflow
3320,10.0,11.081513406623621,0,0.0,0.5,11.081513406623621,8.435270803177012,11.081513406623621,11.08152358181361,0.5,5.0724605593485945,8.111505831603889,5.0724605593485945,4.663718004444927
3330,10.0,11.081513766930405,0,0.0,0.5,11.081513766930405,8.435270693498389,11.081513766930405,11.081524734792804,0.5,5.040740656042554,8.11465407906636,5.040740656042554,4.72591590979546
3340,10.0,11.081514155305966,0,0.0,0.5,11.081514155305966,8.435270579065786,11.081514155305966,11.081525598566184,0.5,5.016172138190132,8.116899200007179,5.016172138190132,4.791660044108233
3350,10.0,11.081514560515503,0,0.0,0.5,11.081514560515503,8.435270462888164,11.081514560515503,11.081526178277732,0.5,4.998577468730452,8.118281656312869,4.998577468730452,4.860331838161399
3360,10.0,11.081514971904197,0,0.0,0.5,11.081514971904197,8.435270347756465,11.081514971904197,11.081526485074198,0.5,4.98771215132684,8.118844855538022,4.98771215132684,4.931392228811462
3370,10.0,11.08151537958923,0,0.0,0.5,11.08151537958923,8.435270236198951,11.08151537958923,11.081526535340489,0.5,4.983278426324353,8.118633906634813,4.983278426324353,5.004373316645307
3380,10.0,11.081515774617944,0,0.0,0.5,11.081515774617944,8.435270130446304,11.081515774617944,11.081526349882623,0.5,4.98493839929099,8.117694588516796,4.98493839929099,5.078870211092692
3390,10.0,11.081516149091428,0,0.0,0.5,11.081516149091428,8.43527003240641,11.081516149091428,11.081525953080797,0.5,4.992326194917236,8.116072516969973,4.992326194917236,5.154533349599479
3400,10.0,11.081516496253796,0,0.0,0.5,11.081516496253796,8.43526994364861,11.081516496253796,11.081525372033704,0.5,5.005058845382278,8.113812565967976,5.005058845382278,5.231053945582023
3410,10.0,11.081516810547964,0,0.0,0.5,11.081516810547964,8.435269865396952,11.081516810547964,11.081524635713723,0.5,5.022745151725903,8.110958481633135,5.022745151725903,5.308153585209951
3420,10.0,11.081517087639543,0,0.0,0.5,11.081517087639543,8.43526979853184,11.081517087639543,11.081523774150858,0.5,5.044992779995857,8.107552645816183,5.044992779995857,5.385576361691113
3430,10.0,11.081517324411005,0,0.0,0.5,11.081517324411005,8.435269743599338,11.081517324411005,11.081522817661172,0.5,5.071413790455483,8.103635955461765,5.071413790455483,5.463082825897176
3440,10.0,11.08151751892871,0,0.0,0.5,11.08151751892871,8.435269700827293,11.08151751892871,11.0815217961333,0.5,5.101628792482515,8.09924779158781,5.101628792482515,5.540445179878066
3450,10.0,11.08151767038586,0,0.0,0.5,11.08151767038586,8.435269670147308,11.08151767038586,11.081520738384405,0.5,5.135269908130378,8.094426058151907,5.135269908130378,5.617443251720792
3460,10.0,11.081517779024644,0,0.0,0.5,11.081517779024644,8.43526965122161,11.081517779024644,11.081519671594476,0.5,5.171982713052152,8.08920727689221,5.171982713052152,5.6938608390217365
3470,10.0,11.08151784604113,0,0.0,0.5,11.08151784604113,8.435269643473767,11.08151784604113,11.081518620825522,0.5,5.211427302507493,8.083626730411321,5.211427302507493,5.769481950596489
3480,10.0,11.081517873476486,0,0.0,0.5,11.081517873476486,8.435269646122233,11.081517873476486,11.081517608629811,0.5,5.253278597694238,8.077718655633069,5.253278597694238,5.844086075519453
3490,10.0,11.081517864098183,0,0.0,0.5,11.081517864098183,8.435269658215725,11.081517864098183,11.08151665474888,0.5,5.297225942197189,8.07151654968115,5.297225942197189,5.917436537389036
3500,10.0,11.08151782127475,0,0.0,0.5,11.08151782127475,8.435269678669444,11.08151782127475,11.081515775902812,0.5,5.342971604173221,8.065053422035344,5.342971604173221,5.989284368753823
3510,10.0,11.081517748847494,0,0.0,0.5,11.081517748847494,8.435269706301249,11.081517748847494,11.081514985667047,0.5,5.390229493183771,8.058361970901222,5.390229493183771,6.05937460659603
3520,10.0,11.081517651002413,0,0.0,0.5,11.081517651002413,8.435269739866952,11.081517651002413,11.081514294432159,0.5,5.438724272146038,8.05147471127256,5.438724272146038,6.12745023501226
3530,10.0,11.08151753214521,0,0.0,0.5,11.08151753214521,8.435269778094,11.08151753214521,11.081513709440312,0.5,5.488190671263765,8.044424074358592,5.488190671263765,6.193254362660579
3540,10.0,11.081517396782035,0,0.0,0.5,11.081517396782035,8.43526981971291,11.081517396782035,11.081513234890934,0.5,5.538372874356418,8.037242492431416,5.538372874356418,6.256531067073921
3550,10.0,11.081517249408169,0,0.0,0.5,11.081517249408169,8.435269863485923,11.081517249408169,11.081512872107057,0.5,5.5890238933428895,8.029962479202156,5.5890238933428895,6.317025216268824
3560,10.0,11.081517094406559,0,0.0,0.5,11.081517094406559,8.435269908232456,11.081517094406559,11.081512619753125,0.5,5.639904877770363,8.022616713164807,5.639904877770363,6.374481481505415
3570,10.0,11.081516935957678,0,0.0,0.5,11.081516935957678,8.435269952851085,11.081516935957678,11.081512474094723,0.5,5.690784326486038,8.01523812966713,5.690784326486038,6.428642676253725
3580,10.0,11.081516777961708,0,0.0,0.5,11.081516777961708,8.435269996337796,11.081516777961708,11.081512429290528,0.5,5.7414371803855735,8.007860026582836,5.7414371803855735,6.47924748881493
3590,10.0,11.081516623973894,0,0.0,0.5,11.081516623973894,8.435270037800466,11.081516623973894,11.081512477706953,0.5,5.791643780513402,8.00051618825727,5.791643780513402,6.526027613070028
3600,10.0,11.08151647715327,0,0.0,0.5,11.08151647715327,8.435270076469536,11.08151647715327,11.081512610246236,0.5,5.841188675851738,7.993241032857568,5.841188675851738,6.568704215822043
3610,10.0,11.081516340224873,0,0.0,0.5,11.081516340224873,8.435270111704991,11.081516340224873,11.081512816679401,0.5,5.889859260453156,7.9860697894684725,5.889859260453156,6.606983599362659
3620,10.0,11.081516215455009,0,0.0,0.5,11.081516215455009,8.43527014299978,11.081516215455009,11.081513085976022,0.5,5.937444209854693,7.979038713508648,5.937444209854693,6.640551805837168
3630,10.0,11.081516104639169,0,0.0,0.5,11.081516104639169,8.435270169979935,11.081516104639169,11.081513406623621,0.5,5.983731670443339,7.972185352929385,5.983731670443339,6.669067728369604
3640,10.0,11.081516009101584,0,0.0,0.5,11.081516009101584,8.435270192401648,11.081516009101584,11.081513766930405,0.5,6.028507128782645,7.965548884697765,6.028507128782645,6.692153951944602
3650,10.0,11.081515929705589,0,0.0,0.5,11.081515929705589,8.435270210145644,11.081515929705589,11.081514155305966,0.5,6.071550841518957,7.959170555444117,6.071550841518957,6.709383766883812
