time,setpoint,water_level,pump_inflow,valve_outflow,disturbance
194.0,10.0,9.9999,2.5,0,2.5
195.0,10.0,9.9999,2.5,0,2.5
196.0,10.0,9.9999,2.5,0,2.5
197.0,10.0,9.9999,2.5,0,2.5
198.0,10.0,9.9999,2.5,0,2.5
199.0,10.0,9.9999,2.5,0,2.5
200.0,10.0,9.9999,2.5,0,2.5
201.0,10.0,9.9999,2.5,0,2.5
202.0,10.0,9.9999,2.5,0,2.5
203.0,10.0,9.9999,2.5,0,2.5
204.0,10.0,10.0,2.5,0,2.5
205.0,10.0,10.0,2.5,0,2.5
206.0,10.0,10.0,2.5,0,2.5
207.0,10.0,10.0,2.5,0,2.5
208.0,10.0,10.0,2.5,0,2.5
209.0,10.0,10.0,2.5,0,2.5
210.0,10.0,10.0,2.5,0,2.5
211.0,10.0,10.0,2.5,0,2.5
212.0,10.0,10.0,2.5,0,2.5
213.0,10.0,10.0,2.5,0,2.5
214.0,10.0,10.0,2.5,0,2.5
215.0,10.0,10.0,2.5,0,2.5
216.0,10.0,10.0,2.5,0,2.5
217.0,10.0,10.0,2.5,0,2.5
218.0,10.0,10.0,2.5,0,2.5
219.0,10.0,10.0,2.5,0,2.5
220.0,10.0,10.0,2.5,0,2.5
221.0,10.0,10.0,2.5,0,2.5
222.0,10.0,10.0,2.5,0,2.5
223.0,10.0,10.0,2.5,0,2.5
224.0,10.0,10.0,2.5,0,2.5
225.0,10.0,10.0,2.5,0,2.5
226.0,10.0,10.0,2.5,0,2.5
227.0,10.0,10.0,2.5,0,2.5
228.0,10.0,10.0,2.5,0,2.5
229.0,10.0,10.0,2.5,0,2.5
230.0,10.0,10.0,2.5,0,2.5
231.0,10.0,10.0,2.5,0,2.5
232.0,10.0,10.0,2.5,0,2.5
233.0,10.0,10.0,2.5,0,2.5
234.0,10.0,10.0,2.5,0,2.5
235.0,10.0,10.0,2.5,0,2.5
236.0,10.0,10.0,2.5,0,2.5
237.0,10.0,10.0,2.5,0,2.5
238.0,10.0,10.0,2.5,0,2.5
239.0,10.0,10.0,2.5,0,2.5
240.0,10.0,10.0,2.5,0,2.5
241.0,10.0,10.0,2.5,0,2.5
242.0,10.0,10.0,2.5,0,2.5
243.0,10.0,10.0,2.5,0,2.5
244.0,10.0,10.0,2.5,0,2.5
245.0,10.0,10.0,2.5,0,2.5
246.0,10.0,10.0,2.5,0,2.5
247.0,10.0,10.0,2.5,0,2.5
248.0,10.0,10.0,2.5,0,2.5
249.0,10.0,10.0,2.5,0,2.5
250.0,10.0,10.0,2.5,0,2.5
251.0,10.0,10.6,2.5,0,1.0
252.0,10.0,10.756,1.39,0,1.0
253.0,10.0,10.7726,1.0414,0,1.0
254.0,10.0,10.7346,0.9052,0,1.0
255.0,10.0,10.6787,0.8603,0,1.0
256.0,10.0,10.6194,0.8516,0,1.0
257.0,10.0,10.5621,0.8568,0,1.0
258.0,10.0,10.5089,0.8669,0,1.0
259.0,10.0,10.4601,0.8782,0,1.0
260.0,10.0,10.4159,0.8893,0,1.0
261.0,10.0,10.3758,0.8998,0,1.0
262.0,10.0,10.3395,0.9093,0,1.0
263.0,10.0,10.3067,0.9181,0,1.0
264.0,10.0,10.2771,0.926,0,1.0
265.0,10.0,10.2504,0.9331,0,1.0
266.0,10.0,10.2262,0.9396,0,1.0
267.0,10.0,10.2043,0.9454,0,1.0
268.0,10.0,10.1846,0.9507,0,1.0
269.0,10.0,10.1668,0.9554,0,1.0
270.0,10.0,10.1507,0.9597,0,1.0
271.0,10.0,10.1361,0.9636,0,1.0
272.0,10.0,10.123,0.9671,0,1.0
273.0,10.0,10.1111,0.9703,0,1.0
274.0,10.0,10.1004,0.9732,0,1.0
275.0,10.0,10.0907,0.9758,0,1.0
276.0,10.0,10.0819,0.9781,0,1.0
277.0,10.0,10.074,0.9802,0,1.0
278.0,10.0,10.0669,0.9821,0,1.0
279.0,10.0,10.0604,0.9839,0,1.0
280.0,10.0,10.0546,0.9854,0,1.0
281.0,10.0,10.0493,0.9868,0,1.0
282.0,10.0,10.0445,0.9881,0,1.0
283.0,10.0,10.0402,0.9892,0,1.0
284.0,10.0,10.0364,0.9903,0,1.0
285.0,10.0,10.0328,0.9912,0,1.0
286.0,10.0,10.0297,0.9921,0,1.0
287.0,10.0,10.0268,0.9928,0,1.0
288.0,10.0,10.0242,0.9935,0,1.0
289.0,10.0,10.0219,0.9942,0,1.0
290.0,10.0,10.0198,0.9947,0,1.0
291.0,10.0,10.0179,0.9952,0,1.0
292.0,10.0,10.0161,0.9957,0,1.0
293.0,10.0,10.0146,0.9961,0,1.0
294.0,10.0,10.0132,0.9965,0,1.0
295.0,10.0,10.0119,0.9968,0,1.0
296.0,10.0,10.0107,0.9971,0,1.0
297.0,10.0,10.0097,0.9974,0,1.0
298.0,10.0,10.0088,0.9977,0,1.0
299.0,10.0,10.0079,0.9979,0,1.0
300.0,10.0,10.0072,0.9981,0,1.0
301.0,10.0,10.0065,0.9983,0,1.0
302.0,10.0,10.0058,0.9984,0,1.0
303.0,10.0,10.0053,0.9986,0,1.0
304.0,10.0,10.0048,0.9987,0,1.0
305.0,10.0,10.0043,0.9988,0,1.0
306.0,10.0,10.0039,0.999,0,1.0
307.0,10.0,10.0035,0.9991,0,1.0
308.0,10.0,10.0032,0.9992,0,1.0
309.0,10.0,10.0029,0.9992,0,1.0
310.0,10.0,10.0026,0.9993,0,1.0
311.0,10.0,10.0023,0.9994,0,1.0
312.0,10.0,10.0021,0.9994,0,1.0
313.0,10.0,10.0019,0.9995,0,1.0
314.0,10.0,10.0017,0.9995,0,1.0
315.0,10.0,10.0016,0.9996,0,1.0
316.0,10.0,10.0014,0.9996,0,1.0
317.0,10.0,10.0013,0.9997,0,1.0
318.0,10.0,10.0012,0.9997,0,1.0
319.0,10.0,10.001,0.9997,0,1.0
320.0,10.0,10.0009,0.9997,0,1.0
321.0,10.0,10.0008,0.9998,0,1.0
322.0,10.0,10.0008,0.9998,0,1.0
323.0,10.0,10.0007,0.9998,0,1.0
324.0,10.0,10.0006,0.9998,0,1.0
325.0,10.0,10.0006,0.9998,0,1.0
326.0,10.0,10.0005,0.9999,0,1.0
327.0,10.0,10.0005,0.9999,0,1.0
328.0,10.0,10.0004,0.9999,0,1.0
329.0,10.0,10.0004,0.9999,0,1.0
330.0,10.0,10.0003,0.9999,0,1.0
331.0,10.0,10.0003,0.9999,0,1.0
332.0,10.0,10.0003,0.9999,0,1.0
333.0,10.0,10.0003,0.9999,0,1.0
334.0,10.0,10.0002,0.9999,0,1.0
335.0,10.0,10.0002,0.9999,0,1.0
336.0,10.0,10.0002,1.0,0,1.0
337.0,10.0,10.0002,1.0,0,1.0
338.0,10.0,10.0002,1.0,0,1.0
