target_flow_m3s,head_m,gate_1_opening_m,gate_2_opening_m,gate_3_opening_m,gate_4_opening_m,gate_5_opening_m
1140,13.5,0.0,2.888217440296046,5.0,2.888217440296046,0.0
1150,13.5,0.0,2.935482505561801,5.0,2.935482505561801,0.0
1160,13.5,0.0,2.9827475708275553,5.0,2.9827475708275553,0.0
1170,13.5,0.0,3.03001263609331,5.0,3.03001263609331,0.0
1180,13.5,0.0,3.077277701359065,5.0,3.077277701359065,0.0
1190,13.5,0.0,3.1245427666248196,5.0,3.1245427666248196,0.0
1200,13.5,0.0,3.1718078318905745,5.0,3.1718078318905745,0.0
1210,13.5,0.0,3.2190728971563294,5.0,3.2190728971563294,0.0
1220,13.5,0.0,3.2663379624220843,5.0,3.2663379624220843,0.0
1230,13.5,0.0,3.3136030276878388,5.0,3.3136030276878388,0.0
1240,13.5,0.0,3.3608680929535937,5.0,3.3608680929535937,0.0
1250,13.5,0.0,3.4081331582193486,5.0,3.4081331582193486,0.0
1260,13.5,0.0,3.455398223485103,5.0,3.455398223485103,0.0
1270,13.5,0.0,3.502663288750858,5.0,3.502663288750858,0.0
1280,13.5,0.0,3.549928354016613,5.0,3.549928354016613,0.0
1290,13.5,0.0,3.597193419282368,5.0,3.597193419282368,0.0
1300,13.5,0.0,3.6444584845481223,5.0,3.6444584845481223,0.0
1310,13.5,0.0,3.691723549813877,5.0,3.691723549813877,0.0
1320,13.5,0.0,3.738988615079632,5.0,3.738988615079632,0.0
1330,13.5,0.0,3.7862536803453866,5.0,3.7862536803453866,0.0
1340,13.5,0.0,3.8335187456111415,5.0,3.8335187456111415,0.0
1350,13.5,0.0,3.8807838108768964,5.0,3.8807838108768964,0.0
1360,13.5,0.0,3.9280488761426513,5.0,3.9280488761426513,0.0
1370,13.5,0.0,3.9753139414084058,5.0,3.9753139414084058,0.0
1380,13.5,0.0,4.02257900667416,5.0,4.02257900667416,0.0
1390,13.5,0.0,4.069844071939915,5.0,4.069844071939915,0.0
1400,13.5,0.0,4.11710913720567,5.0,4.11710913720567,0.0
1410,13.5,0.0,4.164374202471425,5.0,4.164374202471425,0.0
1420,13.5,0.0,4.21163926773718,5.0,4.21163926773718,0.0
1430,13.5,0.0,4.258904333002935,5.0,4.258904333002935,0.0
1440,13.5,0.0,4.30616939826869,5.0,4.30616939826869,0.0
1450,13.5,0.0,4.353434463534444,5.0,4.353434463534444,0.0
1460,13.5,0.0,4.400699528800199,5.0,4.400699528800199,0.0
1470,13.5,0.0,4.447964594065954,5.0,4.447964594065954,0.0
1480,13.5,0.0,4.4952296593317085,5.0,4.4952296593317085,0.0
1490,13.5,0.0,4.542494724597463,5.0,4.542494724597463,0.0
1500,13.5,0.0,4.589759789863218,5.0,4.589759789863218,0.0
1510,13.5,0.0,4.637024855128973,5.0,4.637024855128973,0.0
1520,13.5,0.0,4.684289920394727,5.0,4.684289920394727,0.0
1530,13.5,0.0,4.731554985660482,5.0,4.731554985660482,0.0
1540,13.5,0.0,4.778820050926237,5.0,4.778820050926237,0.0
1550,13.5,0.0,4.826085116191992,5.0,4.826085116191992,0.0
1560,13.5,0.0,4.873350181457746,5.0,4.873350181457746,0.0
1570,13.5,0.0,4.920615246723501,5.0,4.920615246723501,0.0
1580,13.5,0.0,4.967880311989256,5.0,4.967880311989256,0.0
1590,13.5,0.015145377255011054,5.0,5.0,5.0,0.015145377255011054
1600,13.5,0.062410442520765844,5.0,5.0,5.0,0.062410442520765844
1610,13.5,0.10967550778652063,5.0,5.0,5.0,0.10967550778652063
1620,13.5,0.1569405730522754,5.0,5.0,5.0,0.1569405730522754
