target_power_mw,head_m,total_flow_m3s,overall_efficiency,turbine_1_power_mw,turbine_2_power_mw,turbine_3_power_mw,turbine_4_power_mw,turbine_5_power_mw,turbine_6_power_mw
24,10.0,275.02071898090145,0.8895632261793439,0.0,0.0,0.0,12.031876161605663,0.0,11.968123838394337
25,10.0,286.9923929743536,0.8879747484597521,0.0,0.0,0.0,12.530610590818625,0.0,12.469389409181375
26,10.0,300.0825416866012,0.8832092543274687,0.0,0.0,0.0,13.029323067278769,0.0,12.970676932721231
27,10.0,314.4519765461554,0.8752667444523657,0.0,0.0,0.0,13.528018170006886,0.0,13.471981829993114
28,10.0,328.3088832686521,0.8693734841254864,9.17777851767538,10.15895570070892,8.663265781615701,0.0,0.0,0.0
29,10.0,338.37096547545207,0.8736468190161915,9.180459356115792,0.0,8.665829060842443,11.153711583041767,0.0,0.0
30,10.0,348.40960933817075,0.8777323855516665,9.029243162560538,9.996555239209686,0.0,10.974201598229776,0.0,0.0
31,10.0,358.3165529326842,0.8819131432405081,9.333927093024043,10.329906318825707,0.0,11.336166588150256,0.0,0.0
32,10.0,368.82607761803865,0.8844216208817881,9.638543730782478,10.663324268462828,0.0,11.698132000754692,0.0,0.0
33,10.0,379.99261890634654,0.8852578196835342,9.943184097080144,10.996749681120985,0.0,12.06006622179887,0.0,0.0
34,10.0,390.61007799007956,0.8872917949549715,0.0,10.665099047386743,0.0,11.70014004319592,0.0,11.634760909417338
35,10.0,401.7609784223865,0.8880374558692822,0.0,10.979933665380205,0.0,12.041872248455388,0.0,11.978194086164404
36,10.0,413.58712374776934,0.8872918328280026,0.0,11.294786757708776,0.0,12.383585775969395,0.0,12.321627466321829
37,10.0,426.15000026999815,0.8850549260675995,0.0,11.609638447727637,0.0,12.725290727642856,0.0,12.66507082462951
38,10.0,439.5189903897681,0.881326735296712,0.0,11.924822107501825,0.0,13.066906194826206,0.0,13.008271697671969
39,10.0,453.7726532662853,0.8761072619911217,0.0,12.239117649437658,0.0,13.408710450480882,0.0,13.352171900081462
40,10.0,464.6179820836203,0.8775966761110799,9.378113645845607,10.37849933043764,8.854451523636937,11.388935500079818,0.0,0.0
41,10.0,475.05912536339395,0.8797660214121166,9.379913075000596,10.380282683909561,0.0,11.390878769348312,9.848925471741529,0.0
42,10.0,485.5864993891381,0.8816854610116047,9.610698354805962,10.632913006973553,0.0,11.66513647130921,10.091252166911278,0.0
