time,real_reservoir.inflow,real_reservoir.outflow,real_reservoir.volume,real_reservoir.water_level,real_valve.discharge_coefficient,real_valve.opening,real_valve.outflow,twin_reservoir.inflow,twin_reservoir.outflow,twin_reservoir.volume,twin_reservoir.water_level,twin_valve.discharge_coefficient,twin_valve.opening,twin_valve.outflow
33.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,17.544825965788547,10.0,0.2,100.0,0.9839757068885726
34.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,18.060850258899976,10.0,0.2,100.0,0.9839757068885726
35.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,18.576874552011404,10.0,0.2,100.0,0.9839757068885726
36.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,19.092898845122832,10.0,0.2,100.0,0.9839757068885726
37.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,19.60892313823426,10.0,0.2,100.0,0.9839757068885726
38.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,20.12494743134569,10.0,0.2,100.0,0.9839757068885726
39.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,20.640971724457117,10.0,0.2,100.0,0.9839757068885726
40.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,21.156996017568545,10.0,0.2,100.0,0.9839757068885726
41.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,21.673020310679973,10.0,0.2,100.0,0.9839757068885726
42.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,22.1890446037914,10.0,0.2,100.0,0.9839757068885726
43.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,22.70506889690283,10.0,0.2,100.0,0.9839757068885726
44.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,23.22109319001426,10.0,0.2,100.0,0.9839757068885726
45.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,23.737117483125687,10.0,0.2,100.0,0.9839757068885726
46.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,24.253141776237115,10.0,0.2,100.0,0.9839757068885726
47.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,24.769166069348543,10.0,0.2,100.0,0.9839757068885726
48.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,25.28519036245997,10.0,0.2,100.0,0.9839757068885726
49.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,25.8012146555714,10.0,0.5058450228248877,100.0,0.9839757068885726
50.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,25.61723894868283,10.0,0.5058450228248877,100.0,0.9839757068885726
51.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,25.433263241794258,10.0,0.5058450228248877,100.0,0.9839757068885726
52.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,25.249287534905687,10.0,0.5058450228248877,100.0,0.9839757068885726
53.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,25.065311828017116,10.0,0.5058450228248877,100.0,0.9839757068885726
54.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,24.881336121128545,10.0,0.5058450228248877,100.0,0.9839757068885726
55.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,24.697360414239974,10.0,0.5058450228248877,100.0,0.9839757068885726
56.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,24.513384707351403,10.0,0.5058450228248877,100.0,0.9839757068885726
57.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,24.32940900046283,10.0,0.5058450228248877,100.0,0.9839757068885726
58.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,24.14543329357426,10.0,0.5058450228248877,100.0,0.9839757068885726
59.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,23.96145758668569,10.0,0.5058450228248877,100.0,0.9839757068885726
60.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,23.77748187979712,10.0,0.5058450228248877,100.0,0.9839757068885726
61.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,23.593506172908548,10.0,0.5058450228248877,100.0,0.9839757068885726
62.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,23.409530466019977,10.0,0.5058450228248877,100.0,0.9839757068885726
63.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,23.225554759131406,10.0,0.5058450228248877,100.0,0.9839757068885726
64.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,23.041579052242835,10.0,0.5058450228248877,100.0,0.9839757068885726
65.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,22.857603345354264,10.0,0.5058450228248877,100.0,0.9839757068885726
66.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,22.673627638465693,10.0,0.5058450228248877,100.0,0.9839757068885726
67.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,22.48965193157712,10.0,0.5058450228248877,100.0,0.9839757068885726
68.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,22.30567622468855,10.0,0.5058450228248877,100.0,0.9839757068885726
69.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,22.12170051779998,10.0,0.5058450228248877,100.0,0.9839757068885726
70.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,21.93772481091141,10.0,0.5058450228248877,100.0,0.9839757068885726
71.0,0.8,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,0.8,0.9839757068885726,21.753749104022837,10.0,0.5058450228248877,100.0,0.9839757068885726
